run_accession	sample_accession	study_accession	experiment_accession	instrument_platform	instrument_model	library_layout	scientific_name
SRR38978846	SAMN60565143	PRJNA1473575	SRX33736620	ILLUMINA	Illumina HiSeq 2500	PAIRED	UNKNOWN
SRR38978847	SAMN60565143	PRJNA1473575	SRX33736619	OXFORD_NANOPORE	MinION	SINGLE	UNKNOWN
SRR27841063	SAMN39735897	PRJNA1072149	SRX23504344	ILLUMINA	Illumina HiSeq 2000	PAIRED	Whitmania acranulata
SRR27841065	SAMN39735897	PRJNA1072149	SRX23504342	OXFORD_NANOPORE	PromethION	SINGLE	Whitmania acranulata
