task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
12	02/49141d	371	HYBRID_REFERENCE_BUILD:M4_BWA_ALIGN (animal:R1)	COMPLETED	0	2026-08-13 20:53:31.844	5m 41s	5m 41s	420.1%	471 MB	769.3 MB	1.2 GB	3.5 GB
44	30/f596f6	41072	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (animal:R1C1:heldout)	COMPLETED	0	2026-08-13 20:59:06.130	15.8s	15.7s	244.3%	413.1 MB	4.1 GB	310.2 MB	4.7 MB
46	44/31901b	42497	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (animal:C0:heldout)	COMPLETED	0	2026-08-13 20:59:13.083	16.1s	16s	243.8%	413.2 MB	4.1 GB	310.2 MB	4.7 MB
48	46/b0f4cb	44270	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (plant:C0:heldout)	COMPLETED	0	2026-08-13 20:59:21.987	15.7s	15.6s	442.6%	485.5 MB	4.2 GB	325.2 MB	115.2 MB
49	7d/c24332	45598	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (plant:R1C1:heldout)	COMPLETED	0	2026-08-13 20:59:29.204	15.3s	15.2s	432.3%	484.6 MB	4.2 GB	322.5 MB	113.1 MB
51	72/8fb06f	48211	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_HELDOUT (animal:R1C1:heldout)	COMPLETED	0	2026-08-13 20:59:44.533	891ms	755ms	563.4%	59.3 MB	17.2 GB	2.8 MB	2 MB
52	2b/718033	48608	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_HELDOUT (animal:C0:heldout)	COMPLETED	0	2026-08-13 20:59:45.438	908ms	778ms	572.2%	58.5 MB	17.2 GB	2.8 MB	2 MB
55	70/2d74ed	49070	HYBRID_REFERENCE_BUILD:M4_HELDOUT_EVALUATE (animal:R1C1)	COMPLETED	0	2026-08-13 20:59:46.370	446ms	213ms	75.1%	20.7 MB	43.8 MB	1.7 MB	1.4 KB
56	9f/b6950b	49078	HYBRID_REFERENCE_BUILD:M4_HELDOUT_EVALUATE (animal:C0)	COMPLETED	0	2026-08-13 20:59:46.385	446ms	191ms	90.8%	20.9 MB	43.9 MB	1.7 MB	1.6 KB
53	1b/32f11b	49066	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_HELDOUT (plant:C0:heldout)	COMPLETED	0	2026-08-13 20:59:46.356	8.2s	7.9s	150.2%	83.6 MB	17.2 GB	31.3 MB	25.1 MB
40	4e/a3f819	40442	HYBRID_REFERENCE_BUILD:M4_POLYPOLISH (animal:B0)	COMPLETED	0	2026-08-13 20:59:05.219	49.5s	49.3s	101.3%	31.5 MB	43.1 MB	10.5 GB	3.5 GB
58	e7/00b9fc	51127	HYBRID_REFERENCE_BUILD:M4_CANDIDATE_TO_B0 (animal:P0)	COMPLETED	0	2026-08-13 20:59:54.816	433ms	246ms	119.1%	10 MB	353.9 MB	151.6 KB	18.7 KB
57	96/5916f8	50899	HYBRID_REFERENCE_BUILD:M4_HELDOUT_EVALUATE (plant:C0)	COMPLETED	0	2026-08-13 20:59:54.629	717ms	438ms	92.0%	20 MB	43.5 MB	5.3 MB	4 KB
59	4e/9ad4df	51438	HYBRID_REFERENCE_BUILD:M4_LIFT_MASK (animal:P0)	COMPLETED	0	2026-08-13 20:59:55.277	275ms	127ms	107.1%	20.3 MB	43.7 MB	1.5 MB	1.1 KB
54	03/52fead	50884	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_HELDOUT (plant:R1C1:heldout)	COMPLETED	0	2026-08-13 20:59:54.598	7.2s	7.1s	153.9%	83.3 MB	17.2 GB	29.6 MB	24 MB
61	47/813aff	53041	HYBRID_REFERENCE_BUILD:M4_HELDOUT_EVALUATE (plant:R1C1)	COMPLETED	0	2026-08-13 21:00:01.843	595ms	426ms	103.2%	19.6 MB	43.5 MB	5.3 MB	2.3 KB
60	0b/2cf1e2	51574	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (animal:P0:heldout)	COMPLETED	0	2026-08-13 20:59:55.588	15s	14.9s	243.3%	425.7 MB	4.1 GB	310.2 MB	4.7 MB
62	c4/f401c9	54085	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_HELDOUT (animal:P0:heldout)	COMPLETED	0	2026-08-13 21:00:10.619	899ms	769ms	562.6%	56.4 MB	17.2 GB	2.8 MB	2 MB
63	81/c23e04	54436	HYBRID_REFERENCE_BUILD:M4_HELDOUT_EVALUATE (animal:P0)	COMPLETED	0	2026-08-13 21:00:11.556	344ms	163ms	106.5%	20.5 MB	43.8 MB	1.7 MB	1.4 KB
10	71/46713b	975	HYBRID_REFERENCE_BUILD:M4_BWA_ALIGN (plant:R1)	COMPLETED	0	2026-08-13 20:53:32.186	6m 49s	6m 49s	414.6%	447.4 MB	769.6 MB	815.9 MB	3.6 GB
50	67/9ca8b5	47219	HYBRID_REFERENCE_BUILD:M4_POLYPOLISH (animal:R1)	COMPLETED	0	2026-08-13 20:59:37.687	46.3s	46.1s	100.7%	31.6 MB	43.1 MB	10.5 GB	3.5 GB
65	c1/59f120	55179	HYBRID_REFERENCE_BUILD:M4_CANDIDATE_TO_B0 (animal:R1P1)	COMPLETED	0	2026-08-13 21:00:23.977	353ms	205ms	125.7%	9.8 MB	377.9 MB	151.7 KB	19 KB
66	6c/469d58	55308	HYBRID_REFERENCE_BUILD:M4_LIFT_MASK (animal:R1P1)	COMPLETED	0	2026-08-13 21:00:24.367	277ms	124ms	113.8%	20.8 MB	43.8 MB	1.5 MB	1.1 KB
67	7f/c465e8	55426	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (animal:R1P1:heldout)	COMPLETED	0	2026-08-13 21:00:24.682	13.8s	13.7s	242.0%	430.4 MB	4.1 GB	310.2 MB	4.7 MB
68	ee/0ce8ec	57230	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_HELDOUT (animal:R1P1:heldout)	COMPLETED	0	2026-08-13 21:00:38.558	839ms	709ms	668.8%	57.9 MB	17.2 GB	2.8 MB	2 MB
69	1f/9175d3	57630	HYBRID_REFERENCE_BUILD:M4_HELDOUT_EVALUATE (animal:R1P1)	COMPLETED	0	2026-08-13 21:00:39.427	264ms	130ms	105.8%	21 MB	44.9 MB	1.7 MB	1.4 KB
64	cf/337f16	54907	HYBRID_REFERENCE_BUILD:M4_POLYPOLISH (plant:R1)	COMPLETED	0	2026-08-13 21:00:21.277	1m 8s	1m 8s	101.3%	829.3 MB	841.6 MB	10.8 GB	3.6 GB
70	28/806425	58796	HYBRID_REFERENCE_BUILD:M4_CANDIDATE_TO_B0 (plant:R1P1)	COMPLETED	0	2026-08-13 21:01:29.719	788ms	651ms	116.2%	12.9 MB	378.1 MB	511.4 KB	200.3 KB
71	8b/65cd08	58976	HYBRID_REFERENCE_BUILD:M4_LIFT_MASK (plant:R1P1)	COMPLETED	0	2026-08-13 21:01:30.539	260ms	120ms	106.9%	19.9 MB	43.5 MB	2.2 MB	19.1 KB
3	5d/323709	15461	HYBRID_REFERENCE_BUILD:M4_BWA_ALIGN (plant:B0)	COMPLETED	0	2026-08-13 20:55:39.214	5m 55s	5m 55s	417.3%	446.5 MB	769.6 MB	815.9 MB	3.6 GB
72	63/799f26	59095	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (plant:R1P1:heldout)	COMPLETED	0	2026-08-13 21:01:30.834	12.4s	12.2s	415.0%	484.5 MB	4.2 GB	320.8 MB	111.8 MB
74	b0/228034	60765	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_HELDOUT (plant:R1P1:heldout)	COMPLETED	0	2026-08-13 21:01:43.246	5.3s	5.1s	178.7%	83.3 MB	17.2 GB	27.7 MB	22.6 MB
75	60/dc9de6	61664	HYBRID_REFERENCE_BUILD:M4_HELDOUT_EVALUATE (plant:R1P1)	COMPLETED	0	2026-08-13 21:01:48.527	515ms	377ms	103.8%	20 MB	43.5 MB	5.3 MB	1.6 KB
73	95/d16aef	59494	HYBRID_REFERENCE_BUILD:M4_POLYPOLISH (plant:B0)	COMPLETED	0	2026-08-13 21:01:34.191	1m 5s	1m 5s	101.4%	803.7 MB	816.1 MB	10.8 GB	3.6 GB
76	d7/e1f645	62316	HYBRID_REFERENCE_BUILD:M4_CANDIDATE_TO_B0 (plant:P0)	COMPLETED	0	2026-08-13 21:02:39.056	685ms	558ms	115.7%	12.8 MB	378.1 MB	511.4 KB	200.2 KB
77	47/3e883b	62447	HYBRID_REFERENCE_BUILD:M4_LIFT_MASK (plant:P0)	COMPLETED	0	2026-08-13 21:02:39.769	235ms	106ms	108.2%	20.6 MB	43.8 MB	2.2 MB	18.5 KB
78	52/105434	62565	HYBRID_REFERENCE_BUILD:M4_SR_ALIGN_HELDOUT (plant:P0:heldout)	COMPLETED	0	2026-08-13 21:02:40.042	11.9s	11.8s	411.7%	485.7 MB	4.2 GB	320.8 MB	111.8 MB
79	dd/3e897a	63694	HYBRID_REFERENCE_BUILD:M4_BCFTOOLS_CALL_HELDOUT (plant:P0:heldout)	COMPLETED	0	2026-08-13 21:02:51.948	4.8s	4.7s	189.8%	83.3 MB	17.2 GB	27.8 MB	22.7 MB
80	15/fb5538	64418	HYBRID_REFERENCE_BUILD:M4_HELDOUT_EVALUATE (plant:P0)	COMPLETED	0	2026-08-13 21:02:56.778	444ms	302ms	102.1%	21.3 MB	44.9 MB	5.3 MB	1.9 KB
